ID,name,Topt_C,fAPARmax,geometry
US-NC3,NC_Clearcut#3,10.09,0.46590000000000004,POINT (-76.656 35.799)
PE-QFR,Quistococha Forest Reserve,25.060000000000002,0.5924,POINT (-73.319 -3.8344)
US-Mi3,LTAR UCB (Upper Chesapeake Bay) Miscanthus 3,1.3900000000000001,0.48650000000000004,POINT (-80.637 41.8222)
US-NC4,NC_AlligatorRiver,9.74,0.5777,POINT (-75.9038 35.7879)
CA-DB2,Delta Burns Bog 2,3.43,0.4949,POINT (-122.9951 49.119)
US-Sne,Sherman Island Restored Wetland,11.86,0.3557,POINT (-121.7547 38.0369)
US-Mi1,LTAR UCB (Upper Chesapeake Bay) Miscanthus 1,2.06,0.4792,POINT (-80.6313 41.7727)
US-PFe,NW4 Lake-1 CHEESEHEAD 2019,0.0,0.47390000000000004,POINT (-90.3004 45.9793)
US-NR1,Niwot Ridge Forest (LTER NWT1),0.0,0.44620000000000004,POINT (-105.5464 40.0329)
US-Vcp,Valles Caldera Ponderosa Pine,0.16,0.4323,POINT (-106.5974 35.8624)
US-xAB,NEON Abby Road (ABBY),6.69,0.604,POINT (-122.3303 45.7624)
US-HBK,Hubbard Brook Experimental Forest,0.0,0.5306000000000001,POINT (-71.7181 43.9397)
US-EDN,Eden Landing Ecological Reserve,17.53,0.29560000000000003,POINT (-122.114 37.6156)
US-PFh,NE2 Pine-3 CHEESEHEAD 2019,0.0,0.4958,POINT (-90.2406 45.9557)
US-Me6,Metolius Young Pine Burn,0.0,0.48510000000000003,POINT (-121.6078 44.3233)
US-NC2,NC_Loblolly Plantation,11.61,0.5663,POINT (-76.6685 35.803)
US-Whs,Walnut Gulch Lucky Hills Shrub,17.87,0.25220000000000004,POINT (-110.0522 31.7438)
US-SRM,Santa Rita Mesquite,18.75,0.2773,POINT (-110.8661 31.8214)
US-CS1,Central Sands Irrigated Agricultural Field,0.0,0.4053,POINT (-89.5379 44.1031)
US-PFs,SE5 Aspen-5 CHEESEHEAD 2019,0.0,0.49510000000000004,POINT (-90.2382 45.9381)
US-PFg,NE1 Pine-2 CHEESEHEAD 2019,0.0,0.49660000000000004,POINT (-90.2723 45.9735)
US-Ha1,Harvard Forest EMS Tower (HFR1),0.0,0.5545,POINT (-72.1715 42.5378)
US-Ne2,Mead - irrigated maize-soybean rotation site,1.85,0.397,POINT (-96.4701 41.1649)
US-PFm,SW3 Hardwood-2 CHEESEHEAD 2019,0.0,0.4877,POINT (-90.3099 45.9207)
US-PFr,SE4 Tussock-2 CHEESEHEAD 2019,0.0,0.49510000000000004,POINT (-90.2475 45.9245)
US-PFL,SW2 Aspen-3 CHEESEHEAD 2019,0.0,0.4877,POINT (-90.3177 45.9409)
US-PFj,NE4 Maple-1 CHEESEHEAD 2019,0.0,0.4958,POINT (-90.227 45.9619)
US-CC2,Coloma Corn 2,0.0,0.4045,POINT (-89.6196 44.1039)
US-NR3,Niwot Ridge Alpine (T-Van West),0.0,0.3301,POINT (-105.5864 40.052)
US-PFt,SE6 Pine-4 CHEESEHEAD 2019,0.0,0.49510000000000004,POINT (-90.2288 45.9197)
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",0.0,0.45080000000000003,POINT (-79.9333 44.3167)
PR-xLA,NEON Lajas Experimental Station (LAJA),23.22,0.5173,POINT (-67.0769 18.0212)
US-Ne3,Mead - rainfed maize-soybean rotation site,1.52,0.4027,POINT (-96.4397 41.1797)
US-PHM,Plum Island High Marsh,3.0100000000000002,0.40030000000000004,POINT (-70.8301 42.7423)
US-Tw1,Twitchell Wetland West Pond,14.51,0.4334,POINT (-121.6469 38.1074)
US-Hn3,Hanford 100H sagebrush,12.82,0.2898,POINT (-119.4614 46.6878)
US-PFk,SW1 Aspen-2 CHEESEHEAD 2019,0.0,0.4877,POINT (-90.3425 45.9149)
US-CS2,Tri county school Pine Forest,0.0,0.4053,POINT (-89.5002 44.1467)
