Unnamed: 0.1,tower,lat,lon,orbit,scene,tile,time_UTC,date_UTC,doy,time_solar,AOT,COT,vapor_gccm,ozone_cm,SZA,KG,Unnamed: 0,lat_Y,lon_Y,orbit_Y,scene_Y,tile_Y,time_UTC_Y,time_solar_Y,BESSinst,ESI,ESIdaily,ESIdailyUncertainty,ETdaily,ETdailyUncertainty,ETinstUncertainty,EmisWB,GPP,LST,LST_err,MOD16inst,NDVI-UQ,PET,PTJPLSMcanopy,PTJPLSMinst,PTJPLSMinterception,PTJPLSMsoil,RH,Rg,Rn,SM,STICcanopy,STICinst,Ta,WUE,albedo-UQ,height,radiance_1,radiance_2,radiance_3,radiance_4,radiance_5,view_zenith,year,Ta_C,ST_K,NDVI,albedo,ST_C,elevation_km,Ra,UV,VIS,NIR,VISdiff,NIRdiff,VISdir,NIRdir,SWout,LWin,LWout,hour_of_day,Topt,fAPARmax
0,US-Ha2,42.5393,-72.1779,9254,9,18TYN,2020-02-22 00:00:00,2020-02-22,53,2020-02-21 19:11:17.304,0.0881947949528694,-0.003143185051158,0.4182121157646179,0.3717343211174011,110.4064818988766,4.0,1145,42.5393,-72.1779,9254,9,18TYN,2/22/20 16:51,02:25.3,112.87177,0.99999994,,,0.9437895,,93.748764,0.972,6.4226155,274.04,0.64,313.85596,,123.32103,0.0,123.32102,0.8497281,0.15027189,1.0,0.0,0.0,0.2840934,0.0,71.09868,-2.5125194,0.0,,344.78705,,5.415923,,6.1273494,5.9044566,6.19539,2020,-2.5125194,274.04,0.7163455,0.027716992,0.89,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.48250960082584,310.8374078931297,19,0.0,0.5545
1,US-Ha2,42.5393,-72.1779,10150,9,18TYN,2020-04-20 00:00:00,2020-04-20,111,2020-04-19 19:11:17.304,0.237341970205307,3.00202751159668,1.4754934310913086,0.37161785364151,95.12833440171975,4.0,1175,42.5393,-72.1779,10150,9,18TYN,4/20/20 11:54,05:59.3,0.0,0.0,1.0,0.00252,0.005,0.025199998,0.0,0.94,5.264951,308.54,0.84,0.0,,0.0,0.0,0.0,0.0,0.0,0.6304005,0.0,0.0,0.28666002,0.0,0.0,4.8228507,0.0,,343.32736,,10.12103,,9.864844,9.096849,28.344906,2020,4.8228507,308.54,0.7082878,0.0364383,35.39,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.47081713691205,483.04204321945537,19,0.0,0.5545
2,US-Ha2,42.5393,-72.1779,10352,9,18TYN,2020-05-03 00:00:00,2020-05-03,124,2020-05-02 19:11:17.304,0.1074835807085037,2.628000259399414,1.590333342552185,0.3278409540653229,92.1472573426848,4.0,1181,42.5393,-72.1779,10352,9,18TYN,5/3/20 12:53,05:03.3,40.53043,0.9292676,,,0.71864605,,9.856022,0.966,6.9670157,286.32,1.48,61.88599,,39.366978,0.43428555,36.44086,0.40901783,0.14989524,0.8149739,0.0,0.0,0.276035,0.38111606,46.453644,11.62933,0.0,,344.5768,,6.7777114,,7.4581895,6.885617,1.1620464,2020,11.62933,286.32,0.73797673,0.07705091,13.17,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.3581539342608,368.1247746729016,19,0.0,0.5545
3,US-Ha2,42.5393,-72.1779,10684,7,18TYN,2020-05-24 00:00:00,2020-05-24,145,2020-05-23 19:11:17.304,0.0943385139107704,0.0012606707168743,1.9106597900390625,0.3176257908344269,88.45177539985272,4.0,1189,42.5393,-72.1779,10684,7,18TYN,5/24/20 22:33,45:06.3,,,,,,,,0.978,,288.76,1.4,,,,,,,,,8.105838105655609,,,,,,,,343.73755,,7.2399426,,7.8334427,7.2160645,2.5339785,2020,,288.76,0.814637,0.08179149,15.61,0.058,35.081858982424485,0.5924621849460012,3.964455334876835,3.5393864925107223,3.627161823164301,3.519071515241382,0.3372935117125344,0.0203149772693405,0.6629885763603497,,385.5654990775223,19,0.0,0.5545
4,US-Ha2,42.5393,-72.1779,11069,8,18TYN,2020-06-18 00:00:00,2020-06-18,170,2020-06-17 19:11:17.304,0.0504743196070194,0.0387958772480487,1.4941413402557373,0.3338151276111603,86.47142400839097,4.0,1201,42.5393,-72.1779,11069,8,18TYN,6/18/20 18:47,59:08.3,300.98196,0.79822886,1.0,0.006,5.2757643,0.06,107.855194,0.974,35.481125,301.18,2.0,570.12616,,492.40936,0.87300617,392.2633,0.11888072,0.007476151,0.5566634,19.590548366903604,0.0,0.1465698,0.8101111,309.87787,26.243547,0.0,,342.3835,,8.72701,,9.1975565,8.165065,19.196161,2020,26.243547,301.18,0.90029097,0.115091234,28.03,0.058,79.43209118495886,1.386834336791844,9.35372476551137,8.820494349661184,7.41850508623456,8.696527438542914,1.935219679276809,0.1239669111182699,2.254700386283621,380.0294330107928,454.43801175827673,19,0.0,0.5545
5,US-Ha2,42.5393,-72.1779,11084,9,18TYN,2020-06-19 00:00:00,2020-06-19,171,2020-06-18 19:11:17.304,0.0662656873464584,15.98914623260498,3.4774329662323,0.3149583339691162,86.4541724132588,4.0,1203,42.5393,-72.1779,11084,9,18TYN,6/19/20 18:00,11:19.3,365.27325,0.81606174,1.0,0.00528,2.431294,0.0528,235.27469,0.948,38.60171,297.76,1.76,659.4489,,571.0416,0.8796811,466.10544,0.10843119,0.011887695,0.54709166,5.813275489675298,0.0,0.18505152,0.0,3.7182782,26.553339,0.0,,341.69525,,8.434319,,8.843798,7.838355,19.875446,2020,26.553339,297.76,0.90262717,0.12387139,24.61,0.058,79.81033889450345,0.5889838256233938,3.2401377776339784,1.9816716597905064,2.9647260665350905,1.981641658114329,0.2754117110988878,3.000167617717153e-05,0.7200985153590097,381.5988024253263,422.5566480772398,19,0.0,0.5545
6,US-Ha2,42.5393,-72.1779,11111,7,18TYN,2020-06-21 00:00:00,2020-06-21,173,2020-06-20 19:11:17.304,0.1434660851955413,24.729324340820312,3.479378461837769,0.3253084421157837,86.43440996399066,4.0,1205,42.5393,-72.1779,11111,7,18TYN,6/21/20 11:31,42:58.3,138.62682,0.9154473,1.0,0.00588,5.13012635,0.0588,16.326181,0.968,16.931982,294.22,1.96,156.84442,,124.36382,0.35426044,114.34515,0.6320001,0.011935064,0.87469935,3.789098946273093,0.0,0.19521125,0.15400438,145.43298,19.946375,0.0,,344.604,,7.863628,,8.406895,7.7006407,15.823526,2020,19.946375,294.22,0.9041179,0.13302732,21.07,0.058,80.23764567145669,0.396628881702962,2.093616777951715,1.2954270611013554,1.91565935182582,1.295355561428312,0.1779574261258956,7.149967304354021e-05,0.5040536780375335,353.26694032205273,411.31571261677885,19,0.0,0.5545
7,US-Ha2,42.5393,-72.1779,11130,8,18TYN,2020-06-22 00:00:00,2020-06-22,174,2020-06-21 19:11:17.304,0.1389223933219909,43.26383209228516,3.818675994873047,0.3170215487480163,86.43190407423221,4.0,1207,42.5393,-72.1779,11130,8,18TYN,6/22/20 17:13,24:27.3,12.111602,0.8234355,1.0,0.00756,6.23573825,0.0756,234.34837,0.946,3.9012663,305.66,2.52,652.9692,,571.39923,0.8343489,470.09558,0.14022923,0.023921145,0.587686,2.2517824359930456,0.0,0.18328612,0.57633615,336.7129,27.537062,0.0,,344.2863,,8.756077,,9.173039,8.056535,17.22896,2020,27.537062,305.66,0.88128084,0.052665044,32.51,0.058,80.28668843990847,0.2522524381070869,1.2944609410095864,0.7023650770638737,1.1831386947525313,0.70178174100956,0.1113222462570551,0.0005833360543137,0.1185902210700009,393.0138088234231,468.2273196405299,19,0.0,0.5545
8,US-Ha2,42.5393,-72.1779,11145,9,18TYN,2020-06-23 00:00:00,2020-06-23,175,2020-06-22 19:11:17.304,0.1239195019006729,22.45074462890625,3.606544494628906,0.3173749446868896,86.43431524043191,4.0,1209,42.5393,-72.1779,11145,9,18TYN,6/23/20 16:25,36:26.3,107.70536,0.821223,1.0,0.00636,5.14191615,0.063599996,285.60895,0.942,10.844273,297.84,2.12,715.09717,,631.38635,0.8558444,516.838,0.1264963,0.017554061,0.569815,3.73955473869204,0.0,0.18793055,0.6149009,19.285522,27.807955,0.0,,343.54108,,8.359377,,8.883454,7.732497,21.534407,2020,27.807955,297.84,0.89397,0.07113754,24.69,0.058,80.22603630428735,0.3949876686007849,2.1126903860094504,1.2282775733705873,1.9331117031986471,1.2282775733705873,0.1795786828108032,0.0,0.2660227248058945,393.6111897561557,420.3336644743661,19,0.0,0.5545
9,US-Ha2,42.5393,-72.1779,11172,9,18TYN,2020-06-25 00:00:00,2020-06-25,177,2020-06-24 19:11:17.304,0.0809153541922569,1.539964199066162,2.1939456462860107,0.3137141168117523,86.45387792072722,4.0,1211,42.5393,-72.1779,11172,9,18TYN,6/25/20 09:57,08:19.3,,,,,,,,0.958,,283.26,1.56,,,,,,,,,14.767656390750444,,,,,,,,344.43027,,6.6690335,,7.28428,6.740984,17.824997,2020,,283.26,0.9051902,0.10961254,10.11,0.058,79.7759863300963,1.203815537456786,7.589263834559556,5.97075807027398,3.684983950045537,5.954295545930565,3.904279884514019,0.0164625243434155,1.6187203268373886,,349.7177621737976,19,0.0,0.5545
