Site ID,Name,Lat,Long,Elev,Clim,Veg,MAT,MAP,StartDate,EndDate,LE_count,closure_ratio
US-NC3,NC_Clearcut#3,35.799,-76.656,5,Cfa,ENF,16.6,1320,10/1/18 05:00,1/1/22 05:00,9576,1.02
PE-QFR,Quistococha Forest Reserve,-3.8344,-73.319,104,Af,WET,,,10/1/18 05:00,1/1/20 05:00,6859,0.98
US-Mi3,LTAR UCB (Upper Chesapeake Bay) Miscanthus 3,41.8222,-80.637,270,Dfb,CVM,10.5,1012.7,10/1/18 05:00,12/28/19 04:00,12170,0.92
US-NC4,NC_AlligatorRiver,35.7879,-75.9038,1,Cfa,WET,16.6,1311,10/1/18 05:00,1/1/22 05:00,20890,0.9
CA-DB2,Delta Burns Bog 2,49.119,-122.9951,4,,WET,,,1/1/19 08:30,1/1/21 08:00,11884,0.89
US-Sne,Sherman Island Restored Wetland,38.0369,-121.7547,-5,Csa,GRA,16.09,311,10/1/18 08:00,12/31/20 08:00,4992,0.88
US-Mi1,LTAR UCB (Upper Chesapeake Bay) Miscanthus 1,41.7727,-80.6313,290,Dfb,CVM,10.5,1012.7,10/1/18 05:00,12/29/19 08:00,12830,0.87
US-PFe,NW4 Lake-1 CHEESEHEAD 2019,45.9793,-90.3004,480,Dfb,WAT,4.33,823,1/1/19 06:30,11/1/19 06:00,1716,0.84
US-NR1,Niwot Ridge Forest (LTER NWT1),40.0329,-105.5464,3050,Dfc,ENF,1.5,800,10/1/18 07:00,1/1/24 07:00,38921,0.84
US-Vcp,Valles Caldera Ponderosa Pine,35.8624,-106.5974,2542,Dfb,ENF,9.8,550,10/1/18 07:00,1/1/24 07:00,48040,0.82
US-xAB,NEON Abby Road (ABBY),45.7624,-122.3303,363,Csb,ENF,10,2450.59,10/1/18 08:00,12/1/22 00:00,16417,0.82
US-HBK,Hubbard Brook Experimental Forest,43.9397,-71.7181,367,Dfb,DBF,6,1400,10/1/18 05:00,8/30/22 05:30,38045,0.81
US-EDN,Eden Landing Ecological Reserve,37.6156,-122.114,,Csa,WET,,,10/1/18 08:00,11/8/19 08:30,5191,0.81
US-PFh,NE2 Pine-3 CHEESEHEAD 2019,45.9557,-90.2406,463,Dfb,ENF,4.33,823,1/1/19 06:30,11/1/19 06:00,3682,0.81
US-Me6,Metolius Young Pine Burn,44.3233,-121.6078,998,Csb,ENF,7.59,494,10/1/18 08:00,12/31/22 08:00,56728,0.81
US-NC2,NC_Loblolly Plantation,35.803,-76.6685,5,Cfa,ENF,16.6,1320,10/1/18 05:00,1/1/24 05:00,45691,0.81
US-Whs,Walnut Gulch Lucky Hills Shrub,31.7438,-110.0522,1370,Bsk,OSH,17.6,320,10/1/18 07:00,1/1/24 06:30,80919,0.8
US-SRM,Santa Rita Mesquite,31.8214,-110.8661,1120,Bsk,WSA,17.92,380,10/1/18 07:00,1/1/24 06:30,78065,0.8
US-CS1,Central Sands Irrigated Agricultural Field,44.1031,-89.5379,328,Dfa,CRO,7,830,10/1/18 06:00,4/26/19 06:00,2178,0.79
US-PFs,SE5 Aspen-5 CHEESEHEAD 2019,45.9381,-90.2382,489,Dfb,DBF,4.33,823,1/1/19 06:30,11/1/19 06:00,1556,0.78
US-PFg,NE1 Pine-2 CHEESEHEAD 2019,45.9735,-90.2723,475,Dfb,ENF,4.33,823,1/1/19 06:30,11/1/19 06:00,3026,0.76
US-Ha1,Harvard Forest EMS Tower (HFR1),42.5378,-72.1715,340,Dfb,DBF,6.62,1071,10/1/18 05:00,1/1/24 05:00,29648,0.76
US-Ne2,Mead - irrigated maize-soybean rotation site,41.1649,-96.4701,362,Dfa,CRO,10.08,788.89,10/1/18 06:00,10/1/23 06:00,34786,0.76
US-PFm,SW3 Hardwood-2 CHEESEHEAD 2019,45.9207,-90.3099,484,Dfb,DBF,4.33,823,1/1/19 06:30,11/1/19 06:00,4101,0.76
US-PFr,SE4 Tussock-2 CHEESEHEAD 2019,45.9245,-90.2475,490,Dfb,WET,4.33,823,1/1/19 06:30,11/1/19 06:00,2833,0.76
US-PFL,SW2 Aspen-3 CHEESEHEAD 2019,45.9409,-90.3177,464,Dfb,DBF,4.33,823,1/1/19 06:30,11/1/19 06:00,2870,0.76
US-PFj,NE4 Maple-1 CHEESEHEAD 2019,45.9619,-90.227,484,Dfb,DBF,4.33,823,1/1/19 06:30,11/1/19 06:00,3878,0.76
US-CC2,Coloma Corn 2,44.1039,-89.6196,320,Dfb,CRO,7.5,906.5,1/1/21 06:30,1/1/22 06:00,712,0.75
US-NR3,Niwot Ridge Alpine (T-Van West),40.052,-105.5864,3504,ET,GRA,-2.2,884,10/1/18 07:00,1/1/23 07:00,24894,0.75
US-PFt,SE6 Pine-4 CHEESEHEAD 2019,45.9197,-90.2288,466,Dfb,ENF,4.33,823,1/1/19 06:30,11/1/19 06:00,3693,0.75
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",44.3167,-79.9333,120,Dfb,DBF,6.66,876.34,10/1/18 05:00,1/1/21 00:00,18015,0.74
PR-xLA,NEON Lajas Experimental Station (LAJA),18.0212,-67.0769,24,Am,GRA,25,1168,10/1/18 04:00,12/1/22 00:00,13552,0.74
US-Ne3,Mead - rainfed maize-soybean rotation site,41.1797,-96.4397,363,Dfa,CRO,10.11,783.68,10/1/18 06:00,10/1/23 06:00,37176,0.74
US-PHM,Plum Island High Marsh,42.7423,-70.8301,1.4,Dfa,WET,7.2,1262,10/1/18 05:00,1/1/21 05:00,24009,0.74
US-Tw1,Twitchell Wetland West Pond,38.1074,-121.6469,-5,Csa,WET,15.5,421,10/1/18 08:00,1/1/23 08:00,29655,0.74
US-Hn3,Hanford 100H sagebrush,46.6878,-119.4614,120.9,Bsk,OSH,12.8,197,10/1/18 08:00,1/1/19 08:00,2277,0.74
US-PFk,SW1 Aspen-2 CHEESEHEAD 2019,45.9149,-90.3425,476,Dfb,DBF,4.33,823,1/1/19 06:30,11/1/19 06:00,3638,0.74
US-CS2,Tri county school Pine Forest,44.1467,-89.5002,328,Dfa,ENF,7,830,10/1/18 06:00,8/27/22 06:00,22968,0.73
US-ONA,Florida pine flatwoods,27.3836,-81.9509,25,Cfa,GRA,22.3,1268,10/1/18 05:00,1/1/22 04:30,47800,0.73
US-CC1,Coloma Corn 1,44.0732,-89.6787,314,Dfb,CRO,7.5,906.5,1/1/21 06:30,1/1/22 06:00,906,0.73
US-Rls,RCEW Low Sagebrush,43.1439,-116.7356,1608,Bsh,CSH,8.4,333,10/1/18 07:00,10/1/22 07:00,53237,0.72
US-UMd,UMBS Disturbance,45.5625,-84.6975,239,Dfb,DBF,5.83,803,10/1/18 05:00,10/14/23 05:00,59284,0.72
US-PFq,SE3 Aspen-4 CHEESEHEAD 2019,45.9271,-90.2475,473,Dfb,DBF,4.33,823,1/1/19 06:30,11/1/19 06:00,3842,0.72
US-PFn,SW4 Hardwood-3 CHEESEHEAD 2019,45.9392,-90.2823,478,Dfb,DBF,4.33,823,1/1/19 06:30,11/1/19 06:00,3646,0.72
US-HB3,Hobcaw Barony Longleaf Pine Restoration,33.3482,-79.2322,7.3,Cfa,ENF,18.3,1429,1/1/19 05:30,1/1/23 05:00,63677,0.71
US-DFC,"US Dairy Forage Research Center, Prairie du Sac",43.3448,-89.7117,264.9,Dfb,CRO,7.65,787,10/1/18 06:00,1/1/23 06:00,42378,0.71
US-Wkg,Walnut Gulch Kendall Grasslands,31.7365,-109.9419,1531,Bsk,GRA,15.64,407,10/1/18 07:00,1/1/24 06:30,77361,0.71
US-CF1,CAF-LTAR Cook East,46.7815,-117.0821,794,Dsb,CRO,9,550,10/1/18 08:00,1/1/22 07:30,28267,0.71
US-Ho2,Howland Forest (west tower),45.2091,-68.747,61,Dfb,ENF,5.13,1064,10/1/18 05:00,1/1/24 05:30,41121,0.7
US-Snf,Sherman Barn,38.0402,-121.7272,-4,Csa,GRA,,,10/1/18 08:00,7/9/20 08:00,21322,0.7
US-Me2,Metolius mature ponderosa pine,44.4523,-121.5574,1253,Csb,ENF,6.28,523,10/1/18 08:00,3/21/23 20:30,27198,0.7
US-CF3,CAF-LTAR Boyd North,46.7551,-117.1261,795,Dsb,CRO,9,550,10/1/18 08:00,1/1/22 07:30,20168,0.7
US-Ne1,Mead - irrigated continuous maize site,41.1651,-96.4766,361,Dfa,CRO,10.07,790.37,10/1/18 06:00,10/1/23 06:00,36654,0.7
US-Ha2,Harvard Forest Hemlock Site,42.5393,-72.1779,360,Dfb,ENF,6.56,1071,10/1/18 05:00,10/1/23 05:00,62375,0.69
CA-Ca3,British Columbia - Pole sapling Douglas-fir stand,49.5346,-124.9004,,Cfb,ENF,9.94,1676,10/1/18 08:00,1/1/23 07:30,43516,0.69
US-SP1,Slashpine-Austin Cary- 65yrs nat regen,29.7381,-82.2188,50,Cfa,ENF,20.06,1309.77,10/1/18 05:00,1/1/21 04:30,29260,0.69
US-UMB,Univ. of Mich. Biological Station,45.5598,-84.7138,234,Dfb,DBF,5.83,803,10/1/18 05:00,10/14/23 05:00,66911,0.69
US-Bi1,Bouldin Island Alfalfa,38.0992,-121.4993,-2.7,Csa,CRO,16,338,10/1/18 08:00,1/1/24 08:00,74444,0.69
US-PFi,NE3 Hardwood-1 CHEESEHEAD 2019,45.9749,-90.2327,488,Dfb,DBF,4.33,823,1/1/19 06:30,11/1/19 06:00,2539,0.69
US-CF2,CAF-LTAR Cook West,46.784,-117.0908,807,Dsb,CRO,9,550,10/1/18 08:00,1/12/21 08:00,18220,0.69
US-KFS,Kansas Field Station,39.0561,-95.1907,310,Cfa,GRA,12,1014,10/1/18 06:00,1/1/20 05:30,2117,0.69
US-CMW,Charleston Mesquite Woodland,31.6637,-110.1777,1199,Bsh,DBF,17,288,10/1/18 07:00,1/1/22 06:30,50281,0.69
US-Ro4,Rosemount Prairie,44.6781,-93.0723,274,Dfa,GRA,6.4,879,10/1/18 06:00,1/1/24 06:00,64323,0.68
US-PAS,"Florida, Paspalum notatum pasture",27.3944,-81.951,27.1,Cfa,GRA,22.3,1268,1/1/21 05:30,1/1/23 04:30,26519,0.68
US-xYE,NEON Yellowstone Northern Range (Frog Rock) (YELL),44.9535,-110.5391,2116,Dfc,ENF,3.4,493.44,10/1/18 07:00,12/1/22 00:00,21586,0.68
US-Los,Lost Creek,46.0827,-89.9792,480,Dfb,WET,4.08,828,10/1/18 06:00,3/11/24 06:00,49749,0.68
US-PFd,NW3 Tussock-1 CHEESEHEAD 2019,45.9689,-90.301,473,Dfb,WET,4.33,823,1/1/19 06:30,11/1/19 06:00,2775,0.68
US-KM4,KBS Marshall Farms Smooth Brome Grass (Ref),42.4423,-85.3301,246.3,Dfa,CRO,9.9,1027,10/1/18 05:00,1/1/22 05:00,34008,0.68
US-Syv,Sylvania Wilderness Area,46.242,-89.3477,540,Dfb,MF,3.81,826,10/1/18 06:00,1/1/24 06:00,24839,0.68
US-WCr,Willow Creek,45.8059,-90.0799,520,Dfb,DBF,4.02,787,10/1/18 06:00,1/1/24 06:00,50463,0.68
